Date,Decibel
2024-07-15 00:00:00,45.4
2024-07-15 00:00:00,45.4
2024-07-15 00:00:00,45.5
2024-07-15 00:00:00,45.4
2024-07-15 00:00:00,45.4
2024-07-15 00:00:00,45.2
2024-07-15 00:00:00,45.5
2024-07-15 00:00:01,45.3
2024-07-15 00:00:01,45.4
2024-07-15 00:00:01,45.3
2024-07-15 00:00:01,45.6
2024-07-15 00:00:01,45.2
2024-07-15 00:00:01,45.3
2024-07-15 00:00:01,45.3
2024-07-15 00:00:02,45.4
2024-07-15 00:00:02,45.4
2024-07-15 00:00:02,45.5
2024-07-15 00:00:02,45.2
2024-07-15 00:00:02,45.3
2024-07-15 00:00:02,45.3
2024-07-15 00:00:02,45.5
2024-07-15 00:00:03,45.5
2024-07-15 00:00:03,45.4
2024-07-15 00:00:03,45.2
2024-07-15 00:00:03,45.4
2024-07-15 00:00:03,45.3
2024-07-15 00:00:03,45.5
2024-07-15 00:00:03,45.2
2024-07-15 00:00:04,45.5
2024-07-15 00:00:04,45.2
2024-07-15 00:00:04,45.4
2024-07-15 00:00:04,45.4
2024-07-15 00:00:04,45.5
2024-07-15 00:00:04,45.4
2024-07-15 00:00:04,45.2
2024-07-15 00:00:05,45.4
2024-07-15 00:00:05,45.5
2024-07-15 00:00:05,45.4
2024-07-15 00:00:05,45.4
2024-07-15 00:00:05,45.3
2024-07-15 00:00:05,45.4
2024-07-15 00:00:05,45.4
2024-07-15 00:00:06,45.4
2024-07-15 00:00:06,45.4
2024-07-15 00:00:06,45.4
2024-07-15 00:00:06,45.3
2024-07-15 00:00:06,45.3
2024-07-15 00:00:06,45.2
2024-07-15 00:00:06,45.3
2024-07-15 00:00:07,45.4
2024-07-15 00:00:07,45.6
2024-07-15 00:00:07,45.4
2024-07-15 00:00:07,45.5
2024-07-15 00:00:07,45.5
2024-07-15 00:00:07,45.3
2024-07-15 00:00:07,45.4
2024-07-15 00:00:07,45.4
2024-07-15 00:00:08,45.4
2024-07-15 00:00:08,45.4
2024-07-15 00:00:08,45.4
2024-07-15 00:00:08,45.5
2024-07-15 00:00:08,45.4
2024-07-15 00:00:08,45.4
2024-07-15 00:00:08,45.3
2024-07-15 00:00:09,45.2
2024-07-15 00:00:09,45.5
2024-07-15 00:00:09,45.4
2024-07-15 00:00:09,45.5
2024-07-15 00:00:09,45.4
2024-07-15 00:00:09,45.6
2024-07-15 00:00:09,45.1
2024-07-15 00:00:10,45.5
2024-07-15 00:00:10,45.4
2024-07-15 00:00:10,45.5
2024-07-15 00:00:10,45.3
2024-07-15 00:00:10,45.5
2024-07-15 00:00:10,45.4
2024-07-15 00:00:10,45.3
2024-07-15 00:00:11,45.3
2024-07-15 00:00:11,45.4
2024-07-15 00:00:11,45.4
2024-07-15 00:00:11,45.5
2024-07-15 00:00:11,45.6
2024-07-15 00:00:11,45.4
2024-07-15 00:00:11,45.3
2024-07-15 00:00:12,45.4
2024-07-15 00:00:12,45.4
2024-07-15 00:00:12,45.5
2024-07-15 00:00:12,45.5
2024-07-15 00:00:12,45.4
2024-07-15 00:00:12,45.3
2024-07-15 00:00:12,45.3
2024-07-15 00:00:13,45.5
2024-07-15 00:00:13,45.5
2024-07-15 00:00:13,45.4
2024-07-15 00:00:13,45.4
2024-07-15 00:00:13,45.4
2024-07-15 00:00:13,45.3
2024-07-15 00:00:13,45.2
2024-07-15 00:00:13,45.4
2024-07-15 00:00:14,45.4
2024-07-15 00:00:14,45.4
2024-07-15 00:00:14,45.5
2024-07-15 00:00:14,45.5
2024-07-15 00:00:14,45.4
2024-07-15 00:00:14,45.4
2024-07-15 00:00:14,45.4
2024-07-15 00:00:15,45.4
2024-07-15 00:00:15,45.3
2024-07-15 00:00:15,45.4
2024-07-15 00:00:15,45.4
2024-07-15 00:00:15,45.6
2024-07-15 00:00:15,45.5
2024-07-15 00:00:15,45.5
2024-07-15 00:00:16,45.4
2024-07-15 00:00:16,45.4
2024-07-15 00:00:16,45.4
2024-07-15 00:00:16,45.5
2024-07-15 00:00:16,45.4
2024-07-15 00:00:16,45.5
2024-07-15 00:00:16,45.4
2024-07-15 00:00:17,45.2
2024-07-15 00:00:17,45.4
2024-07-15 00:00:17,45.5
2024-07-15 00:00:17,45.2
2024-07-15 00:00:17,45.4
2024-07-15 00:00:17,45.5
2024-07-15 00:00:17,45.3
2024-07-15 00:00:18,45.4
2024-07-15 00:00:18,45.4
2024-07-15 00:00:18,45.5
2024-07-15 00:00:18,45.4
2024-07-15 00:00:18,45.3
2024-07-15 00:00:18,45.5
2024-07-15 00:00:18,45.3
2024-07-15 00:00:19,45.3
2024-07-15 00:00:19,45.4
2024-07-15 00:00:19,45.3
2024-07-15 00:00:19,45.5
2024-07-15 00:00:19,45.3
2024-07-15 00:00:19,45.4
2024-07-15 00:00:19,45.3
2024-07-15 00:00:19,45.2
2024-07-15 00:00:20,45.3
2024-07-15 00:00:20,45.3
2024-07-15 00:00:20,45.4
2024-07-15 00:00:20,45.4
2024-07-15 00:00:20,45.5
2024-07-15 00:00:20,45.4
2024-07-15 00:00:20,45.4
2024-07-15 00:00:21,45.4
2024-07-15 00:00:21,45.6
2024-07-15 00:00:21,45.4
2024-07-15 00:00:21,45.5
2024-07-15 00:00:21,45.4
2024-07-15 00:00:21,45.5
2024-07-15 00:00:21,45.4
2024-07-15 00:00:22,45.5
2024-07-15 00:00:22,45.3
2024-07-15 00:00:22,45.4
2024-07-15 00:00:22,45.3
2024-07-15 00:00:22,45.4
2024-07-15 00:00:22,45.3
2024-07-15 00:00:22,45.4
